0	Date	Open	High	Low	Close	
	2023-05-12	24798.99	24888.14	23870.06	24733.21	
	2023-05-11	25241.01	25337.22	24555.0	24798.99	
	2023-05-10	25290.2	25886.66	24512.0	25241.03	
	2023-05-09	25275.92	25513.16	25023.51	25290.78	
	2023-05-08	25882.03	26074.84	24877.01	25275.3	
	2023-05-07	26139.14	26445.99	25853.34	25882.0	
	2023-05-06	26760.02	27055.99	25696.41	26139.15	
	2023-05-05	26252.97	27000.0	26238.4	26760.01	
	2023-05-04	26291.09	26621.77	26055.27	26250.84	
	2023-05-03	26132.71	26502.57	25533.13	26288.99	
	2023-05-02	25690.11	26327.0	25447.36	26130.78	
	2023-05-01	26618.0	26711.0	25292.91	25690.29	
	2023-04-30	26519.0	27180.0	26365.7	26612.67	
	2023-04-29	26656.0	26730.0	26333.48	26516.5	
	2023-04-28	26782.12	26965.5	26274.91	26654.99	
	2023-04-27	25813.48	27181.04	25778.08	26775.19	
	2023-04-26	25852.94	27265.92	24775.52	25807.91	
	2023-04-25	24975.52	25945.77	24725.0	25849.99	
	2023-04-24	25188.91	25574.14	24506.26	24974.82	
	2023-04-23	25381.79	25381.79	24924.0	25186.44	
	2023-04-22	24899.01	25458.15	24758.25	25381.46	
	2023-04-21	25841.86	25962.3	24800.0	24902.06	
	2023-04-20	26413.32	26627.23	25650.79	25838.38	
	2023-04-19	27774.92	27799.95	26215.39	26413.32	
	2023-04-18	27005.14	27882.56	26720.0	27774.93	
	2023-04-17	27709.25	27716.77	26790.89	27005.15	
	2023-04-16	27673.6	27829.05	27512.41	27710.94	
	2023-04-15	27792.5	27900.73	27594.57	27675.56	
	2023-04-14	27630.2	28172.3	27463.0	27792.51	
	2023-04-13	27320.57	27847.64	27298.8	27626.63	
	2023-04-12	27795.24	27944.28	27188.43	27321.99	
	2023-04-11	27276.26	28100.0	27212.54	27791.57	
	2023-04-10	26019.14	27397.09	25945.02	27270.39	
	2023-04-09	25692.02	26231.39	25560.82	26018.14	
	2023-04-08	25680.84	25870.58	25609.28	25691.97	
	2023-04-07	25787.54	25852.59	25551.15	25680.84	
	2023-04-06	25923.74	25942.55	25506.82	25788.01	
	2023-04-05	25798.36	26300.0	25595.29	25925.89	
	2023-04-04	25662.15	26182.85	25488.59	25795.05	
	2023-04-03	26187.25	26349.0	25221.16	25662.56	
	2023-04-02	26319.67	26403.97	25828.0	26184.72	
	2023-04-01	26330.62	26633.95	26127.13	26315.71	
	2023-03-31	25798.64	26471.0	25383.03	26332.77	
	2023-03-30	26191.24	26950.0	25514.65	25798.34	
	2023-03-29	25192.7	26517.0	25178.72	26188.76	
	2023-03-28	25266.51	25435.37	24673.21	25189.56	
	2023-03-27	26072.21	26133.52	24743.77	25267.76	
	2023-03-26	25728.93	26350.0	25682.17	26076.46	
	2023-03-25	25753.81	26017.99	25439.1	25735.12	
	2023-03-24	26259.5	26349.74	25301.36	25746.57	
	2023-03-23	25351.14	26599.99	25132.25	26260.2	
	2023-03-22	26324.72	26850.0	24670.6	25342.45	
	2023-03-21	26067.81	26558.02	25700.0	26324.74	
	2023-03-20	26468.5	26906.96	25605.89	26082.53	
	2023-03-19	25371.26	26850.0	25250.0	26474.44	
	2023-03-18	25786.41	26145.14	25111.51	25373.59	
	2023-03-17	23663.25	26171.0	23559.63	25789.77	
	2023-03-16	23028.79	23818.36	22829.69	23665.73	
	2023-03-15	22993.36	23860.76	22645.02	23026.8	
	2023-03-14	22402.03	24586.23	22308.71	22985.84	
	2023-03-13	20672.63	22947.57	20347.97	22399.78	
	2023-03-12	19068.43	20778.4	18927.12	20679.99	
	2023-03-11	19016.27	19623.36	18603.57	19070.66	
	2023-03-10	19377.78	19379.84	18603.3	19007.07	
	2023-03-09	20628.79	20710.06	19020.27	19377.36	
	2023-03-08	21091.84	21173.84	20513.23	20624.41	
	2023-03-07	21043.74	21250.61	20773.01	21091.84	
	2023-03-06	21244.51	21329.62	21007.96	21038.64	
	2023-03-05	21210.31	21483.0	21052.96	21244.31	
	2023-03-04	21224.64	21300.35	21027.7	21214.99	
	2023-03-03	22239.66	22250.0	20975.0	21224.64	
	2023-03-02	22290.61	22438.23	22041.99	22239.99	
